FOS,Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration
0.836,20,5,45,60,0
0.824,20,5,45,60,1
0.815,20,5,45,60,2
0.804,20,5,45,60,3
0.794,20,5,45,60,4
0.753,20,5,45,60,8
0.724,20,5,45,60,12
0.706,20,5,45,60,16
0.699,20,5,45,60,20
0.696,20,5,45,60,24
1.129,20,10,45,10,0
1.127,20,10,45,10,1
1.125,20,10,45,10,2
1.124,20,10,45,10,3
1.123,20,10,45,10,4
1.12,20,10,45,10,8
1.116,20,10,45,10,12
1.113,20,10,45,10,16
1.11,20,10,45,10,20
1.107,20,10,45,10,24
1.129,20,10,45,30,0
1.124,20,10,45,30,1
1.121,20,10,45,30,2
1.119,20,10,45,30,3
1.115,20,10,45,30,4
1.102,20,10,45,30,8
1.084,20,10,45,30,12
1.068,20,10,45,30,16
1.058,20,10,45,30,20
1.05,20,10,45,30,24
1.129,20,10,45,60,0
1.121,20,10,45,60,1
1.114,20,10,45,60,2
1.107,20,10,45,60,3
1.096,20,10,45,60,4
1.054,20,10,45,60,8
1.024,20,10,45,60,12
1.007,20,10,45,60,16
1,20,10,45,60,20
0.997,20,10,45,60,24
1.38,20,15,45,10,0
1.379,20,15,45,10,1
1.379,20,15,45,10,2
1.378,20,15,45,10,3
1.378,20,15,45,10,4
1.376,20,15,45,10,8
1.374,20,15,45,10,12
1.37,20,15,45,10,16
1.367,20,15,45,10,20
1.365,20,15,45,10,24
1.38,20,15,45,30,0
1.378,20,15,45,30,1
1.377,20,15,45,30,2
1.375,20,15,45,30,3
1.373,20,15,45,30,4
1.362,20,15,45,30,8
1.352,20,15,45,30,12
1.342,20,15,45,30,16
1.329,20,15,45,30,20
1.32,20,15,45,30,24
1.38,20,15,45,60,0
1.377,20,15,45,60,1
1.372,20,15,45,60,2
1.366,20,15,45,60,3
1.36,20,15,45,60,4
1.335,20,15,45,60,8
1.302,20,15,45,60,12
1.283,20,15,45,60,16
1.276,20,15,45,60,20
1.273,20,15,45,60,24
1.639,20,20,45,10,0
1.638,20,20,45,10,1
1.637,20,20,45,10,2
1.636,20,20,45,10,3
1.635,20,20,45,10,4
1.632,20,20,45,10,8
1.629,20,20,45,10,12
1.626,20,20,45,10,16
1.609,20,20,45,10,20
1.607,20,20,45,10,24
1.639,20,20,45,30,0
1.636,20,20,45,30,1
1.633,20,20,45,30,2
1.631,20,20,45,30,3
1.629,20,20,45,30,4
1.603,20,20,45,30,8
1.595,20,20,45,30,12
1.584,20,20,45,30,16
1.571,20,20,45,30,20
1.563,20,20,45,30,24
1.639,20,20,45,60,0
1.633,20,20,45,60,1
1.628,20,20,45,60,2
1.622,20,20,45,60,3
1.601,20,20,45,60,4
1.578,20,20,45,60,8
1.545,20,20,45,60,12
1.526,20,20,45,60,16
1.518,20,20,45,60,20
1.515,20,20,45,60,24
0.584,25,0,45,10,0
0.578,25,0,45,10,1
0.573,25,0,45,10,2
0.571,25,0,45,10,3
0.568,25,0,45,10,4
0.557,25,0,45,10,8
0.55,25,0,45,10,12
0.546,25,0,45,10,16
0.543,25,0,45,10,20
0.541,25,0,45,10,24
0.584,25,0,45,30,0
0.57,25,0,45,30,1
0.551,25,0,45,30,2
0.537,25,0,45,30,3
0.527,25,0,45,30,4
0.502,25,0,45,30,8
0.482,25,0,45,30,12
0.463,25,0,45,30,16
0.44,25,0,45,30,20
0.421,25,0,45,30,24
0.584,25,0,45,60,0
0.543,25,0,45,60,1
0.506,25,0,45,60,2
0.48,25,0,45,60,3
0.457,25,0,45,60,4
0.405,25,0,45,60,8
0.357,25,0,45,60,12
0.325,25,0,45,60,16
0.314,25,0,45,60,20
0.309,25,0,45,60,24
0.985,25,5,45,10,0
0.981,25,5,45,10,1
0.979,25,5,45,10,2
0.977,25,5,45,10,3
0.975,25,5,45,10,4
0.97,25,5,45,10,8
0.964,25,5,45,10,12
0.957,25,5,45,10,16
0.952,25,5,45,10,20
0.947,25,5,45,10,24
0.985,25,5,45,30,0
0.977,25,5,45,30,1
0.971,25,5,45,30,2
0.967,25,5,45,30,3
0.961,25,5,45,30,4
0.94,25,5,45,30,8
0.918,25,5,45,30,12
0.899,25,5,45,30,16
0.885,25,5,45,30,20
0.876,25,5,45,30,24
0.985,25,5,45,60,0
0.971,25,5,45,60,1
0.959,25,5,45,60,2
0.945,25,5,45,60,3
0.933,25,5,45,60,4
0.881,25,5,45,60,8
0.843,25,5,45,60,12
0.82,25,5,45,60,16
0.811,25,5,45,60,20
